"","gamma","nchains","sbs","mse","var","sample_var"
"1",1,1,1,3.87083205519074e-13,2.4203624105053e-13,3.86864417546078e-13
"2",1,2,1,2.87519443347919e-13,1.24606764752882e-13,2.85025882963991e-13
"3",1,3,1,2.49426228680601e-13,9.14313098985032e-14,2.47315225870191e-13
"4",1,4,1,2.10868354759045e-13,6.74199944661702e-14,2.10353477247142e-13
"5",1,5,1,2.28282245837841e-13,6.04136561290671e-14,2.27243009101881e-13
"6",1,6,1,2.00877578320886e-13,4.93547942499555e-14,2.00694496300071e-13
"7",1,7,1,2.06588498814635e-13,4.75308043518814e-14,2.04198257459795e-13
"8",1,8,1,2.04418628634966e-13,4.05969268074878e-14,2.03595763824902e-13
"9",1,9,1,1.97301277421609e-13,3.96701880254173e-14,1.96546941495026e-13
"10",1,10,1,2.02398867033587e-13,3.51499023181893e-14,2.00664310167507e-13
"11",1,1,10,3.88390547043106e-13,2.45731003823171e-13,3.87751419448655e-13
"12",1,2,10,2.94893392976502e-13,1.36343195067558e-13,2.93062416724624e-13
"13",1,3,10,3.07279914113395e-13,1.36037126303899e-13,3.06147378765636e-13
"14",1,4,10,2.6138438155717e-13,1.04230146346599e-13,2.60742632343672e-13
"15",1,5,10,2.96905676777836e-13,1.13607759147697e-13,2.95402473222673e-13
"16",1,6,10,2.53094557839163e-13,9.67924091278871e-14,2.51688722585967e-13
"17",1,7,10,2.5129029887375e-13,1.03920715970702e-13,2.50120447895511e-13
"18",1,8,10,2.66516622237914e-13,9.23424840151976e-14,2.6432663335099e-13
"19",1,9,10,2.74154286152278e-13,9.92258515168475e-14,2.71495806588659e-13
"20",1,10,10,2.49054973486226e-13,8.9442072635688e-14,2.47434731059162e-13
