"","gamma","nchain","est","var","sample_var","mse","bias"
"1",1,1,3.86156630596436e-06,2.47706141314707e-13,4.65750167978875e-13,4.67640439965322e-13,4.85388726118145e-08
"2",1,2,3.85353430120127e-06,1.24202797066522e-13,2.387309140203e-13,2.40132989449193e-13,4.05068678487206e-08
"3",1,3,3.82395647683375e-06,8.1916345621796e-14,1.41507698941864e-13,1.41485635234336e-13,1.09290434812009e-08
"4",1,4,3.83300719855735e-06,6.22409360657845e-14,1.20968467865913e-13,1.21246690415687e-13,1.99797652048092e-08
"5",1,5,3.83519515484733e-06,4.99037081763725e-14,9.52854859972336e-14,9.56816083875066e-14,2.21677214947838e-08
"6",1,6,3.83266826621782e-06,4.15552555703877e-14,8.41622740519386e-14,8.44638740935282e-14,1.96408328652718e-08
"7",1,7,3.81199680823067e-06,3.55146594748435e-14,6.82144375772746e-14,6.81472853278392e-14,1.0306251218712e-09
"8",1,8,3.82533088077846e-06,3.11513179683555e-14,5.8014287136511e-14,5.81076476679367e-14,1.23034474259155e-08
"9",1,9,3.82759765407666e-06,2.77816666492798e-14,5.28304738810517e-14,5.29899347391202e-14,1.45702207241189e-08
"10",1,10,3.81932229512488e-06,2.49413763907902e-14,4.59605841289031e-14,4.5954248829507e-14,6.29486177233495e-09
