"","p","est","var","sample_var","mse"
"1",4.30788626246681e-05,4.37999108263377e-05,1.11308371793302e-12,5.10874997001498e-11,5.135197271078e-11
"2",7.36354132424566e-06,7.49168608960243e-06,6.78062346484343e-14,1.51257676110992e-12,1.52143495819271e-12
"3",1.06083756534758e-06,1.07909991212097e-06,3.27183435729474e-15,3.54104401474199e-14,3.55669012563544e-14
"4",1.27103675140461e-07,1.28777400632082e-07,1.28880257992478e-16,6.01356679560005e-16,6.01151253183507e-16
"5",1.24346009044984e-08,1.27464790639822e-08,4.33445999871381e-18,8.71690383473238e-18,8.77058730192172e-18
"6",9.67693480902199e-10,9.85813072844564e-10,1.11530732006234e-19,1.25230023597636e-19,1.24932193091806e-19
"7",5.76214631564653e-11,5.64012870561141e-11,2.14590214109914e-21,1.93997678843697e-21,1.93176573421065e-21
"8",2.46558329308755e-12,2.44011228905182e-12,3.0731203575797e-23,3.47670825496866e-23,3.45938959089847e-23
"9",6.75015598972095e-14,6.55854891613566e-14,2.27358105001155e-25,2.24177536294091e-25,2.23060319939685e-25
"10",8.88178419700125e-16,0,0,0,7.88860905221012e-31
