"","gamma","sbs","nchains","est","var","mse"
"1",1,1,1,3.81171969803206e-06,2.3858304559419e-13,3.17917219422189e-13
"2",1,1,2,3.81330818326645e-06,1.2032236894841e-13,2.03719535702096e-13
"3",1,1,3,3.80394832082901e-06,8.83567164195974e-14,1.69396914669398e-13
"4",1,1,4,3.82355859029706e-06,6.59886174952787e-14,1.46911107651019e-13
"5",1,1,5,3.82339984867811e-06,5.91125641984548e-14,1.49423703331386e-13
"6",1,1,6,3.80782994364099e-06,4.79564454522413e-14,1.2044803189819e-13
"7",1,1,7,3.81292133059912e-06,4.59115789880725e-14,1.26051179012783e-13
"8",1,1,8,3.84225121245807e-06,4.0160420573814e-14,1.1724240929628e-13
"9",1,1,9,3.81607092467289e-06,3.88986900428291e-14,1.20982844646518e-13
"10",1,1,10,3.80092530227466e-06,3.42998354610337e-14,1.13202084957845e-13
"11",1,1,11,3.82464080224675e-06,3.46094064158384e-14,1.04659651495127e-13
"12",1,1,12,3.81923862553737e-06,3.11051578602119e-14,1.14915791708714e-13
"13",1,1,13,3.81732679098845e-06,3.12607152215085e-14,1.0600668937841e-13
"14",1,1,14,3.83023712519118e-06,2.85220835361603e-14,1.18215152124311e-13
"15",1,1,15,3.82151381507525e-06,2.90329917466529e-14,1.06992101785341e-13
"16",1,1,16,3.83937634572757e-06,2.67242225039809e-14,1.14194382955648e-13
"17",1,1,17,3.83066408355219e-06,2.72221181231564e-14,1.07456210283508e-13
"18",1,1,18,3.82798383596455e-06,2.55538331459084e-14,1.14244306571154e-13
"19",1,1,19,3.82724511235592e-06,2.5717201295046e-14,1.04033246159317e-13
"20",1,1,20,3.82544890115666e-06,2.42253653068662e-14,1.10648977305887e-13
