"","gamma","sbs","nchains","est","var","mse"
"1",1,1,1,3.79403124732862e-06,2.38301470241482e-13,3.08067308554223e-13
"2",1,1,2,3.89239531936081e-06,1.28390813964049e-13,2.63313443183355e-13
"3",1,1,3,3.88877302061004e-06,9.09400349292998e-14,1.54356234098262e-13
"4",1,1,4,3.80213534994798e-06,6.62819127346374e-14,1.73442916751325e-13
"5",1,1,5,3.87211587630466e-06,6.10438053024673e-14,1.67115782434396e-13
"6",1,1,6,3.81171024706183e-06,4.82005114149296e-14,7.92587094284182e-14
"7",1,1,7,3.76053302197833e-06,4.48781753988416e-14,1.41868650326186e-13
"8",1,1,8,3.84832674023432e-06,4.02841131841241e-14,1.41185512325718e-13
"9",1,1,9,3.79142496328338e-06,3.83664508491177e-14,1.01843846558349e-13
"10",1,1,10,3.80428258763426e-06,3.47790154823782e-14,1.0030194114571e-13
"11",1,10,1,3.67798589491118e-06,2.247074921834e-13,3.80235848635319e-13
"12",1,10,2,3.81217001683887e-06,1.32700412276001e-13,2.13229049539417e-13
"13",1,10,3,3.64808740859611e-06,1.23687862582382e-13,2.09912789440231e-13
"14",1,10,4,3.88768006782817e-06,1.05642102148242e-13,1.72174582049778e-13
"15",1,10,5,3.83957669749171e-06,1.13474223271722e-13,1.97042172173336e-13
"16",1,10,6,3.83301995180945e-06,9.450133325472e-14,1.79753534228513e-13
"17",1,10,7,3.84561953092711e-06,1.02357834685299e-13,1.9818136613552e-13
"18",1,10,8,3.83203882759993e-06,8.92300898119577e-14,1.29542339438975e-13
"19",1,10,9,3.81253964056512e-06,9.65204645077832e-14,1.39607346116534e-13
"20",1,10,10,3.83326258208915e-06,8.77328809962054e-14,1.6476251562198e-13
"21",1,50,1,3.83946692426265e-06,2.41488378479419e-13,3.67993684788688e-13
"22",1,50,2,3.85585683329814e-06,1.79064486219732e-13,2.96749000990924e-13
"23",1,50,3,3.77405285024821e-06,1.8975232401751e-13,2.43731857400536e-13
"24",1,50,4,3.77726490809726e-06,1.65660315039732e-13,1.95251729491958e-13
"25",1,50,5,3.83186158391801e-06,1.8590014481217e-13,2.94037352147795e-13
"26",1,50,6,3.8334658856916e-06,1.69437442011603e-13,2.47094002558286e-13
"27",1,50,7,3.77683947054743e-06,1.76539248997321e-13,2.15640563373996e-13
"28",1,50,8,3.83501909081033e-06,1.7163408575999e-13,3.04912260078815e-13
"29",1,50,9,3.91396264381872e-06,1.80833830822845e-13,2.97579171582022e-13
"30",1,50,10,3.77200753328812e-06,1.62669050771553e-13,1.68789033100822e-13
"31",1,100,1,3.74826707046919e-06,2.33447387317395e-13,3.21654900124022e-13
"32",1,100,2,3.8364708685572e-06,2.01038429087667e-13,2.51156312455335e-13
"33",1,100,3,3.78207309406302e-06,2.07751310452909e-13,3.0583615355228e-13
"34",1,100,4,3.80541870057237e-06,1.99217432965774e-13,2.80717941778376e-13
"35",1,100,5,3.8671730791321e-06,2.11819072315196e-13,3.16990838140091e-13
"36",1,100,6,3.88882777392457e-06,2.0177739168833e-13,2.75772237319099e-13
"37",1,100,7,3.74247652315859e-06,1.98081842230577e-13,2.6991093126041e-13
"38",1,100,8,3.84334068341172e-06,2.01389157886967e-13,3.43220278206123e-13
"39",1,100,9,3.76054333302721e-06,2.02802689996311e-13,2.70144795841166e-13
"40",1,100,10,3.87096382919473e-06,2.05321475617955e-13,3.26920415749526e-13
