"","gamma1","gamma2","dgamma","sbs","nchains","est","var","mse"
"1",0.5,0.5,0,10,1,3.36311977404398e-06,3.03851053732328e-12,3.32936549445974e-12
"2",0.5,0.5,0,10,5,3.98395879334645e-06,2.40633986373696e-12,2.56809353215458e-12
"3",0.5,0.5,0,10,10,3.92009655620454e-06,2.0161619833176e-12,1.81855903858495e-12
"4",0.5,0.5,0,50,1,3.68522119205098e-06,3.45521027023494e-12,4.27268467259585e-12
"5",0.5,0.5,0,50,5,3.75928229474792e-06,2.76787584021268e-12,3.52519566439911e-12
"6",0.5,0.5,0,50,10,3.80765568458803e-06,3.09115144073208e-12,3.28294486514187e-12
"7",0.5,0.5,0,100,1,3.52388602812538e-06,2.88716461118712e-12,2.5694672394569e-12
"8",0.5,0.5,0,100,5,3.84760238154488e-06,3.27861817799795e-12,2.56532457229697e-12
"9",0.5,0.5,0,100,10,3.88159588424008e-06,3.32266939840289e-12,2.95234818740704e-12
"10",0.5,1,0.5,10,1,3.36311977404398e-06,3.03851053732328e-12,3.32936549445974e-12
"11",0.5,1,0.5,10,5,3.40320855129326e-05,2.79173035298844e-11,9.3802288522593e-10
"12",0.5,1,0.5,10,10,3.08787803131551e-05,2.43569319702345e-11,7.53456251587245e-10
"13",0.5,1,0.5,50,1,3.68522119205098e-06,3.45521027023494e-12,4.27268467259585e-12
"14",0.5,1,0.5,50,5,1.94748833041888e-05,1.696747938656e-11,2.67874575097604e-10
"15",0.5,1,0.5,50,10,1.65684248368017e-05,1.49458372694001e-11,1.80562046623635e-10
"16",0.5,1,0.5,100,1,3.52388602812538e-06,2.88716461118712e-12,2.5694672394569e-12
"17",0.5,1,0.5,100,5,1.37021649566423e-05,1.18009669257902e-11,1.1156198977758e-10
"18",0.5,1,0.5,100,10,1.05781648329908e-05,9.48631083305393e-12,5.36892962170759e-11
"19",0.5,1.5,1,10,1,3.36311977404398e-06,3.03851053732328e-12,3.32936549445974e-12
"20",0.5,1.5,1,10,5,0.000124032320400553,1.10435199654182e-10,1.45780330535273e-08
"21",0.5,1.5,1,10,10,9.42083205694852e-05,7.697604668804e-11,8.24792689610361e-09
