"","gamma1","gamma2","dgamma","sbs","nchains","est","var","sample_var","mse"
"1",0.5,0.5,0,1,1,0,0,0,2.59440318761643e-18
"2",0.5,0.5,0,1,2,9.99919292986757e-10,5.00640221453358e-17,4.99919296243568e-17,4.9365162570306e-17
"3",0.5,0.5,0,1,5,0,0,0,2.59440318761643e-18
"4",0.5,0.5,0,1,10,4.01263500427377e-09,1.25144773409487e-16,1.36450927414791e-16,1.39491128012145e-16
"5",0.5,0.5,0,10,1,0,0,0,2.59440318761643e-18
"6",0.5,0.5,0,10,2,0,0,0,2.59440318761643e-18
"7",0.5,0.5,0,10,5,5.06642369749614e-10,1.28528327048567e-17,1.28343245412752e-17,1.37966146813171e-17
"8",0.5,0.5,0,10,10,0,0,0,2.59440318761643e-18
"9",0.5,0.5,0,50,1,0,0,0,2.59440318761643e-18
"10",0.5,0.5,0,50,2,3.45485689476263e-09,3.27624192434762e-16,3.21649362531397e-16,3.18617234177849e-16
"11",0.5,0.5,0,50,5,4.93589959716709e-10,1.21991192285356e-17,1.21815524166571e-17,1.31858899850014e-17
"12",0.5,0.5,0,50,10,1.50433768896891e-09,6.29333594177597e-17,6.18160235551645e-17,6.05910192412216e-17
"13",0.5,0.5,0,100,1,4.99161904045551e-10,1.24760959827442e-17,1.2458130322519e-17,1.3444518260942e-17
"14",0.5,0.5,0,100,2,0,0,0,2.59440318761643e-18
"15",0.5,0.5,0,100,5,4.97995915837599e-10,1.24178784361219e-17,1.23999966095464e-17,1.33901406976346e-17
"16",0.5,0.5,0,100,10,0,0,0,2.59440318761643e-18
"17",0.5,1,0.5,1,1,0,0,0,2.59440318761643e-18
"18",0.5,1,0.5,1,2,1.04545986221269e-08,1.001709998129e-15,9.09151935507449e-16,9.69183172252388e-16
"19",0.5,1,0.5,1,5,3.07328311329144e-08,3.82834934922627e-15,5.19750461614906e-15,5.94165216507978e-15
"20",0.5,1,0.5,1,10,2.31582812862639e-08,1.23580727020391e-15,1.18394639430554e-15,1.62456507424514e-15
"21",0.5,1,0.5,10,1,0,0,0,2.59440318761643e-18
"22",0.5,1,0.5,10,2,9.32793009470919e-09,7.21690531462699e-16,6.46572461736395e-16,6.93196419516318e-16
"23",0.5,1,0.5,10,5,2.72543422359105e-08,3.51394633559938e-15,3.47454464748538e-15,4.06264936635761e-15
"24",0.5,1,0.5,10,10,2.99494386860855e-08,3.45382857163543e-15,4.42543044622538e-15,5.14000509083499e-15
"25",0.5,1,0.5,50,1,0,0,0,2.59440318761643e-18
"26",0.5,1,0.5,50,2,1.4082760004397e-08,1.97467146835951e-15,1.80969775420752e-15,1.92905570280061e-15
"27",0.5,1,0.5,50,5,1.67904500681679e-08,1.62123752003798e-15,1.54057102423361e-15,1.74018395694151e-15
"28",0.5,1,0.5,50,10,8.96403980998813e-09,5.74887889810835e-16,5.03781671179081e-16,5.47777421798364e-16
"29",0.5,1,0.5,100,1,4.99161904045551e-10,1.24760959827442e-17,1.2458130322519e-17,1.3444518260942e-17
"30",0.5,1,0.5,100,2,5.77150017860982e-09,6.32664756150146e-16,6.10656633092707e-16,6.15755632761101e-16
"31",0.5,1,0.5,100,5,1.4422637979042e-08,1.54631506482114e-15,1.51080369089629e-15,1.64473298450538e-15
"32",0.5,1,0.5,100,10,6.5541480989936e-09,6.59367506373933e-16,6.28021587272389e-16,6.39898685175987e-16
"33",0.5,1.5,1,1,1,0,0,0,2.59440318761643e-18
"34",0.5,1.5,1,1,2,9.25507329800253e-09,7.05124634698162e-16,6.31074355956884e-16,6.76889080839655e-16
"35",0.5,1.5,1,1,5,8.1697053182825e-08,1.00298685979325e-14,1.07880595118987e-14,1.698611986648e-14
