"","gamma1","omega","sbs","nchains","est","var","mse"
"1",0.5,0.75,1,1,3.76326059923682e-06,3.3307852898066e-12,2.75609492894334e-12
"2",0.5,0.75,1,2,1.07559279125133e-06,2.74441259271946e-13,7.74498930956128e-12
"3",0.5,0.75,1,5,4.72833810108332e-08,6.49720886187261e-15,1.41868527802733e-11
"4",0.5,0.75,1,10,2.22373699157424e-09,2.47606865899292e-16,1.45224671175026e-11
"5",0.5,0.75,10,1,3.36311977404398e-06,3.03851053732328e-12,3.32936549445974e-12
"6",0.5,0.75,10,2,1.21531717494322e-06,5.42263241093954e-13,7.43701257772583e-12
"7",0.5,0.75,10,5,2.61483770453356e-07,1.16465413188773e-13,1.27134508942542e-11
"8",0.5,0.75,10,10,6.69603217821299e-08,3.27217355346255e-14,1.40621734148678e-11
"9",0.5,0.75,50,1,3.68522119205098e-06,3.45521027023494e-12,4.27268467259585e-12
"10",0.5,0.75,50,2,1.79593981890996e-06,1.2542845651346e-12,5.10445668223509e-12
"11",0.5,0.75,50,5,1.8028694549109e-06,1.25884104654856e-12,4.93179156472121e-12
"12",0.5,0.75,50,10,9.4363790909816e-07,6.41766802647787e-13,8.92871390112763e-12
"13",0.5,0.75,100,1,3.52388602812538e-06,2.88716461118712e-12,2.5694672394569e-12
"14",0.5,0.75,100,2,2.66745195768062e-06,2.02923781861508e-12,3.49346317555663e-12
"15",0.5,0.75,100,5,2.29537254744014e-06,1.9054487908795e-12,3.90184719063507e-12
"16",0.5,0.75,100,10,1.47150722187019e-06,1.13304103216587e-12,6.30836636746622e-12
"17",0.5,1.5,1,1,3.76326059923682e-06,3.3307852898066e-12,2.75609492894334e-12
"18",0.5,1.5,1,2,1.01998254258195e-05,7.69805046441164e-12,4.66040207861914e-11
"19",0.5,1.5,1,5,0.00012085796550068,9.95124416079937e-11,1.38103446617681e-08
"20",0.5,1.5,1,10,0.00271746921355568,2.92236215901567e-09,7.36921817652644e-06
"21",0.5,1.5,10,1,3.36311977404398e-06,3.03851053732328e-12,3.32936549445974e-12
"22",0.5,1.5,10,2,1.07017435359096e-05,8.80009901074811e-12,5.58200244312534e-11
"23",0.5,1.5,10,5,0.000146512352258182,1.27556527236801e-10,2.05332694932125e-08
"24",0.5,1.5,10,10,0.00190227910415925,1.23124952410128e-09,3.6068730761282e-06
